china_abs_off	section	rel_off	d3txt00_index
182924	20	916	148
183099	20	1091	787
183163	20	1155	497
183299	20	1291	982
183492	20	1484	342
183918	20	1910	174
184054	20	2046	770
184512	20	2504	1250
184545	20	2537	724
184614	20	2606	1356
185282	20	3274	719
185523	20	3515	1045
185555	20	3547	1110
186279	20	4271	748
186344	20	4336	603
186513	20	4505	285
186610	20	4602	511
187505	21	625	230
187537	21	657	365
187569	21	689	255
187729	21	849	997
187827	21	947	490
187860	21	980	1410
187892	21	1012	450
188473	21	1593	393
188650	21	1770	1470
188717	21	1837	1010
188749	21	1869	1470
188820	21	1940	1390
189438	21	2558	1282
189470	21	2590	770
189504	21	2624	1064
